YEAR,MADE PLAYOFFS,PTS,FPTS,SACKS,INT,TO,PTS ALLOW,PLAYS,YDS,PASS YDS,PASS ATT,PASS COMP,PASS TD,RUSH YDS,RUSH ATT,RUSH TD,TD,RZ ATT,RZ TD,RZ TD PERCENTAGE,FIRST DOWNS,3RD DOWN CONVERSION,4TH DOWN CONVERSION
2021,1,9,3,11,3,3,1,2,1,1,3,1,1,13,16,26,1,3,3,6,1,1,8
2021,1,5,2,18,2,3,2,8,4,2,4,3,4,22,20,1,2,6,3,2,3,5,15
2021,0,22,13,18,15,21,3,9,8,8,11,5,5,15,15,1,4,1,2,3,5,28,4
2021,0,9,5,8,6,10,4,14,7,14,17,13,3,4,9,6,2,4,1,1,2,7,5
2021,1,9,6,6,8,5,5,22,13,21,32,32,13,3,1,5,6,19,12,10,17,12,9
2021,1,5,8,10,10,14,6,9,12,25,30,20,7,2,2,11,5,18,8,7,10,6,21
2021,1,1,1,11,1,1,7,20,19,20,25,10,7,16,11,7,7,4,6,21,8,2,26
2021,1,4,7,28,12,5,8,13,27,27,23,24,16,21,6,17,16,15,15,16,24,18,25
2021,0,9,8,23,3,2,9,11,16,19,18,18,31,10,7,3,12,12,19,25,11,19,18
2021,1,9,11,5,26,19,9,5,3,6,7,14,12,7,14,21,12,23,19,15,6,17,6
2021,1,9,10,14,15,7,11,3,11,7,10,11,25,20,9,3,11,9,12,19,12,10,10
2021,0,22,22,23,22,25,11,32,28,31,31,31,7,17,27,17,10,26,12,4,31,13,3
2021,0,9,18,9,15,21,13,12,5,5,13,11,22,12,13,7,12,10,19,27,8,13,28
2021,1,9,12,16,6,8,13,7,9,10,20,17,26,11,4,7,18,7,17,28,13,23,7
2021,1,30,15,3,3,10,15,28,17,22,27,29,2,6,17,23,7,15,7,8,19,21,15
2021,0,2,4,6,14,8,16,19,15,16,22,15,6,14,8,17,7,17,8,11,13,20,23
2021,1,9,16,11,15,17,17,17,18,26,28,30,13,5,5,14,16,12,15,18,15,22,2
2021,1,2,16,31,20,26,18,18,10,11,16,28,20,9,18,23,22,23,27,29,23,23,11
2021,0,22,26,23,26,29,19,6,25,32,26,21,26,1,3,7,24,7,5,12,16,3,23
2021,1,30,19,1,15,14,20,27,24,9,12,6,7,32,26,21,12,19,8,4,22,7,17
2021,0,22,25,15,26,26,21,3,2,4,2,4,13,18,21,17,18,10,22,30,4,9,18
2021,0,5,20,3,29,26,22,1,6,3,1,2,26,23,23,11,22,14,8,13,7,11,12
2021,0,9,22,22,12,14,23,29,21,15,24,27,16,25,24,14,18,31,25,9,25,16,30
2021,0,9,14,2,10,13,24,31,30,28,28,24,22,26,22,14,21,19,17,14,30,4,12
2021,0,5,21,17,22,21,25,15,22,29,18,22,32,8,12,11,25,19,22,17,18,31,22
2021,1,22,28,20,32,29,26,24,14,13,21,22,22,19,19,23,25,2,22,32,20,15,32
2021,0,9,24,26,8,10,27,23,31,23,8,9,16,31,31,31,30,28,28,22,27,26,20
2021,0,22,32,26,30,32,28,16,20,17,5,16,7,23,25,29,27,26,26,23,21,25,31
2021,0,9,29,32,20,19,29,26,26,18,14,19,26,27,30,26,31,30,31,24,28,30,12
2021,0,22,27,20,22,17,29,24,23,12,9,7,16,30,27,29,27,29,30,25,28,32,1
2021,0,30,30,30,22,21,31,21,29,24,6,8,26,28,29,26,27,23,29,31,26,29,29
2021,0,22,31,28,30,31,32,30,32,30,15,24,20,29,32,32,32,32,32,19,32,27,27
2020,1,3,2,2,12,10,1,3,1,1,15,11,1,3,4,4,1,5,4,12,1,3,5
2020,1,2,3,14,23,10,2,11,7,6,27,24,5,8,3,4,2,2,6,18,16,2,9
2020,1,3,1,1,1,2,3,6,3,3,3,1,5,11,12,7,3,2,2,6,2,5,1
2020,1,3,6,6,5,7,4,10,2,2,4,3,2,13,16,10,3,1,1,4,3,6,2
2020,0,13,4,10,1,1,5,9,20,23,13,9,2,16,10,18,11,6,4,7,12,1,10
2020,1,22,7,8,1,3,5,4,4,5,16,4,16,4,5,2,7,9,17,29,6,9,14
2020,0,13,12,26,1,10,7,2,15,8,1,4,5,26,26,18,7,8,12,27,13,16,16
2020,0,13,12,12,18,10,8,23,12,16,23,26,5,10,18,10,5,24,10,2,19,24,22
2020,1,13,9,4,7,5,9,16,6,21,29,31,20,1,1,1,11,10,12,20,5,14,15
2020,1,6,10,19,5,10,10,14,16,14,16,12,20,21,19,10,16,6,21,32,19,17,25
2020,1,1,5,12,7,5,11,4,8,20,19,17,12,2,5,14,13,12,12,15,8,19,5
2020,1,13,18,17,23,25,12,12,11,12,14,13,16,15,22,2,7,14,7,5,9,8,20
2020,1,13,12,7,12,10,13,32,22,31,32,32,9,5,7,22,13,17,20,19,26,27,7
2020,0,29,11,4,18,18,13,24,13,10,21,16,14,22,21,7,7,17,7,3,23,12,27
2020,1,6,15,10,18,25,15,1,9,7,7,10,9,13,8,14,13,12,10,8,10,10,19
2020,1,6,8,15,7,3,15,17,14,13,22,17,9,17,12,27,16,21,27,28,17,13,18
2020,0,22,19,22,14,21,17,7,5,4,8,8,13,7,17,4,6,2,3,9,4,4,25
2020,0,6,19,23,30,10,18,14,18,18,25,27,16,20,9,18,20,20,21,21,22,31,21
2020,0,6,15,3,29,22,19,26,19,15,5,15,15,23,28,25,21,10,16,26,14,7,3
2020,0,22,24,23,14,18,19,18,29,32,30,30,27,6,2,13,24,17,21,25,25,17,7
2020,0,29,29,32,18,27,21,13,26,19,9,6,26,29,25,7,19,21,25,24,15,20,24
2020,0,6,22,25,14,22,22,7,10,9,12,6,20,18,14,18,21,15,12,10,7,22,27
