YEAR,MADE PLAYOFFS,PTS,FPTS,PLAYS,YDS,PASS YDS,PASS ATT,PASS COMP,PASS TD,RUSH YDS,RUSH ATT,RUSH TD,TD,RZ ATT,RZ TD,RZ TD PERCENTAGE,FIRST DOWNS,3RD DOWN CONVERSION,4TH DOWN CONVERSION,INT,TO,SACKS ALLOW
2021,1,2,1,4,2,1,1,1,1,26,31,10,2,5,3,2,2,2,14,10,21,1
2021,1,4,4,5,3,4,2,2,6,16,20,14,4,5,5,14,1,1,1,11,28,4
2021,1,10,8,16,10,8,15,11,4,18,17,22,6,3,5,19,7,8,9,1,5,12
2021,1,3,6,3,5,9,5,7,7,6,13,7,4,1,1,7,4,3,20,25,26,2
2021,1,1,2,2,1,2,6,3,3,9,12,17,1,7,5,6,6,11,11,7,6,12
2021,0,20,21,20,18,27,28,30,20,4,9,7,17,22,17,10,17,17,30,14,11,27
2021,1,15,17,6,17,24,25,19,19,5,1,2,14,11,8,5,9,8,7,14,6,26
2021,1,7,5,18,9,5,10,9,2,25,23,28,8,3,4,15,12,7,17,27,18,7
2021,0,5,3,7,4,2,3,4,5,21,22,10,3,2,1,4,3,5,4,21,21,7
2021,0,16,17,32,20,23,31,28,10,11,27,10,14,26,17,3,30,23,32,1,1,25
2021,1,13,14,25,7,12,29,26,14,7,5,5,12,16,12,1,11,14,20,14,24,10
2021,0,14,10,12,12,11,11,12,9,17,16,28,16,18,15,7,20,25,15,1,4,5
2021,0,17,12,1,6,13,9,13,20,3,3,9,19,14,14,13,5,25,1,27,18,31
2021,1,11,9,8,8,10,18,7,12,10,7,4,8,7,8,15,8,5,10,7,24,18
2021,1,21,19,9,23,15,4,6,16,29,28,28,26,22,25,23,24,18,24,7,11,16
2021,1,7,7,25,13,7,20,15,7,23,19,14,6,20,17,17,18,16,3,14,13,30
2021,0,23,23,17,21,21,21,21,20,12,10,22,21,22,26,26,16,20,20,21,15,23
2021,0,23,20,27,19,19,24,22,25,13,14,14,22,18,22,22,21,21,13,5,3,20
2021,0,32,31,29,27,22,11,18,32,22,30,18,31,30,30,29,29,28,12,26,6,7
2021,0,19,23,23,28,32,30,32,11,15,4,24,17,14,15,18,27,30,18,11,6,14
2021,1,18,13,13,11,6,7,5,16,28,26,18,22,13,17,27,15,22,6,14,21,20
2021,0,29,29,10,30,29,14,25,31,20,14,13,29,28,27,25,25,29,31,32,30,28
2021,0,28,26,27,26,20,13,20,25,27,32,18,24,21,24,21,26,27,23,29,26,29
2021,0,22,23,11,25,17,8,10,20,30,18,24,20,25,21,12,23,13,15,14,28,18
2021,0,6,11,21,15,14,25,17,15,8,8,2,11,10,8,11,9,10,4,11,6,2
2021,0,26,27,31,29,16,19,16,25,31,29,27,27,16,22,24,28,18,28,21,15,20
2021,0,9,14,21,16,26,27,28,12,2,5,5,8,9,12,20,13,12,8,4,18,10
2021,0,27,28,14,24,30,23,27,29,14,11,18,27,26,28,30,19,31,28,29,30,32
2021,0,31,31,24,31,31,15,24,30,24,25,31,32,31,32,32,31,24,26,29,30,16
2021,0,12,16,14,14,25,32,31,25,1,2,1,12,11,11,7,14,4,25,6,1,6
2021,0,25,21,19,22,18,15,13,16,19,21,24,25,29,29,31,22,31,19,14,13,14
2021,0,30,30,30,32,28,22,22,20,32,23,31,30,32,31,28,32,15,27,21,15,23
2020,1,6,2,7,1,1,3,2,3,16,23,22,6,9,12,14,1,3,18,2,2,5
2020,1,3,2,23,7,2,6,5,2,28,29,15,4,4,4,7,10,11,15,16,14,4
2020,1,1,1,28,5,9,24,17,1,8,12,15,1,5,2,1,13,2,10,1,1,2
2020,1,2,4,15,2,3,11,5,3,20,17,15,3,1,4,13,1,1,1,9,13,9
2020,0,17,14,2,14,8,2,3,19,17,15,21,20,20,24,29,7,19,21,17,20,25
2020,1,14,15,20,16,24,28,29,13,3,4,5,10,21,8,3,15,7,30,5,23,8
2020,1,4,5,17,2,23,30,28,8,2,2,2,2,3,2,2,4,5,9,2,8,6
2020,1,23,19,3,11,13,12,9,26,10,7,10,19,14,16,19,16,12,26,23,16,6
2020,0,19,10,1,9,6,5,3,10,18,9,27,15,16,18,21,6,9,25,7,10,15
2020,1,8,6,20,17,16,17,11,3,12,17,19,7,16,7,4,14,20,15,17,14,27
2020,0,19,24,9,15,12,16,19,19,15,14,10,15,18,11,8,17,23,28,30,16,20
2020,0,11,7,19,4,14,27,24,6,5,8,6,7,9,4,6,3,16,17,17,16,20
2020,0,13,15,4,6,17,15,12,13,7,6,4,12,12,9,10,4,21,6,17,26,11
2020,1,7,15,25,19,32,32,32,13,1,1,3,7,5,9,12,24,4,8,9,28,13
2020,0,30,26,13,29,27,14,17,27,24,17,22,30,25,29,29,28,30,4,9,5,27
2020,0,12,20,11,24,15,1,1,6,32,28,27,10,23,16,11,26,14,23,9,23,1
2020,1,25,29,8,30,25,9,10,28,26,25,13,26,27,24,20,26,23,13,26,27,29
2020,0,28,28,18,23,26,19,27,25,13,13,22,28,29,29,27,30,26,32,32,31,13
2020,0,29,26,24,28,21,7,12,19,28,32,31,27,29,24,16,29,18,31,26,10,25
2020,0,5,8,10,12,19,25,21,11,6,5,1,4,1,1,5,8,8,5,5,22,11
2020,0,10,9,14,8,7,21,23,11,14,11,6,14,9,18,23,12,6,3,7,4,10
2020,0,24,23,25,21,18,22,16,28,21,21,10,25,14,22,28,21,25,20,26,28,17
2020,0,32,32,31,32,31,29,30,28,23,22,31,32,32,32,32,32,32,29,23,9,24
2020,0,15,20,22,22,20,18,21,22,22,16,19,20,5,13,17,19,27,1,17,23,15
2020,0,16,10,5,18,5,4,7,13,27,20,22,23,12,20,26,9,10,14,9,10,22
2020,0,27,30,29,27,30,31,31,31,4,3,6,28,25,28,23,23,16,22,23,20,19
2020,1,9,10,16,10,11,20,19,22,11,10,6,12,5,13,17,10,21,11,9,7,2
2020,1,22,22,11,26,22,8,8,18,25,27,27,24,18,20,22,21,31,12,26,30,17
2020,0,31,31,30,31,29,26,26,31,19,26,22,31,31,31,31,31,29,7,9,16,29
2020,0,26,25,6,24,28,10,25,24,9,23,15,20,28,23,15,20,28,27,31,32,32
2020,0,21,15,27,20,10,13,15,13,30,30,14,15,21,13,9,17,15,24,17,5,23
2020,0,18,13,32,13,4,23,14,8,31,31,30,18,24,24,25,25,13,18,2,2,29
2019,1,1,1,7,2,27,32,32,1,1,1,2,1,1,1,2,1,2,1,5,10,5
2019,1,5,5,25,6,5,15,9,5,23,27,13,6,17,20,20,6,1,5,2,2,3
2019,0,6,2,6,1,2,10,6,5,5,8,7,7,10,13,15,3,2,21,14,12,2
2019,1,3,3,21,9,7,13,2,2,16,17,20,5,7,7,11,8,10,25,3,4,3
2019,1,2,6,19,4,13,29,22,10,2,2,1,2,2,11,21,14,5,6,18,28,12
2019,1,15,15,13,18,17,16,16,14,15,13,7,14,17,12,8,16,21,13,1,1,12
2019,1,9,8,10,8,14,23,21,4,4,3,15,7,3,2,9,11,16,13,3,17,23
2019,1,10,10,30,12,21,31,31,8,3,10,2,3,25,7,1,17,18,30,5,6,30
2019,0,13,7,2,5,3,1,1,8,30,29,24,16,3,13,25,2,11,4,21,17,26
2019,0,11,9,8,7,4,3,3,19,26,18,4,11,6,2,5,10,15,31,25,28,1
2019,0,3,4,4,3,1,4,7,3,24,14,15,3,10,6,4,5,12,11,32,32,22
2019,0,16,19,22,21,24,18,18,25,10,19,7,18,13,24,29,20,21,3,15,17,26
2019,1,8,12,27,16,23,30,24,14,6,4,6,10,8,7,10,20,9,10,5,17,5
2019,1,12,14,1,14,11,8,5,12,11,7,13,11,10,4,3,4,4,28,5,6,14
2019,1,14,13,17,13,15,20,18,12,9,12,10,11,13,7,7,9,8,12,20,24,25
2019,0,18,17,12,17,10,17,20,10,21,16,29,18,27,22,12,23,14,25,21,26,19
2019,0,22,21,26,22,22,19,25,19,12,22,15,18,17,16,13,26,20,23,30,26,16
2019,0,27,31,31,30,31,26,26,28,29,20,29,28,31,32,32,30,27,32,28,31,9
2019,0,28,29,29,28,28,27,27,32,20,14,22,30,27,28,28,29,30,2,12,4,16
2019,1,23,25,16,24,26,24,29,24,8,6,18,24,26,22,17,20,24,20,15,12,15
2019,0,21,16,23,10,6,10,4,17,28,28,20,22,13,18,22,7,6,9,29,22,11
2019,0,20,24,5,19,20,2,7,31,14,24,4,18,17,16,13,15,29,13,30,28,31
2019,0,17,23,18,25,30,24,28,19,7,5,10,16,8,4,6,12,12,6,12,9,9
2019,0,29,28,13,29,25,14,12,25,27,20,28,27,24,24,24,28,25,28,15,12,21
2019,0,18,20,19,23,18,9,11,5,19,29,22,14,27,24,16,25,19,19,25,22,19
2019,1,7,11,3,15,8,5,9,16,18,9,10,7,3,15,26,13,17,24,11,10,5
2019,0,30,27,9,26,19,6,16,28,25,25,26,30,21,27,30,24,21,13,23,12,23
2019,0,31,32,28,32,29,22,23,27,31,26,31,26,32,31,19,31,31,27,23,25,29
2019,0,24,18,24,11,9,21,14,19,13,11,18,22,13,18,22,18,7,8,5,3,8
2019,0,26,22,13,20,16,12,15,17,17,23,32,28,23,30,31,27,26,17,5,6,18
2019,0,25,26,11,27,12,7,12,19,32,32,24,25,21,20,18,18,28,18,27,12,31
